sample_id,condition,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_abs_sv,segment_dur_sec,base_logprob,deleted_logprob,logprob_drop,runtime_sec
1,librispeech_original,A FRENCHMAN YOUR NAME,4,1,1,FRENCHMAN,0.0500812381505966,0.5218978102189781,-0.2646228075027466,-0.6945317983627319,0.42990899085998535,0.25035440099964035
1,librispeech_original,A FRENCHMAN YOUR NAME,4,0,2,A,0.0167133063077926,0.12016833941605842,-0.2646228075027466,-0.2770860493183136,0.012463241815567017,0.19233924800028035
1,librispeech_original,A FRENCHMAN YOUR NAME,4,2,3,YOUR,0.0025866483338177,0.7267468065693432,-0.2646228075027466,-0.9316500425338745,0.6670272350311279,0.304589506749835
1,librispeech_original,A FRENCHMAN YOUR NAME,4,3,4,NAME,0.0005068629980087,0.23111222627737238,-0.2646228075027466,-0.2738407254219055,0.009217917919158936,0.360077355249814
6,librispeech_original,AHEM A COMMON RUMOR,4,3,1,RUMOR,0.1202818676829338,0.3510249999999999,-0.13894915580749512,-0.4784223437309265,0.3394731879234314,0.2650345357506012
6,librispeech_original,AHEM A COMMON RUMOR,4,0,2,AHEM,0.0304304528981447,0.4213924999999999,-0.13894915580749512,-1.1790122985839844,1.0400631427764893,0.10452998325126828
6,librispeech_original,AHEM A COMMON RUMOR,4,1,3,A,0.0240703076124191,0.5343899999999999,-0.13894915580749512,-0.8100939393043518,0.6711447834968567,0.15746240025146108
6,librispeech_original,AHEM A COMMON RUMOR,4,2,4,COMMON,0.0232772883027791,0.3915599999999999,-0.13894915580749512,-0.20831456780433655,0.06936541199684143,0.21046478550124448
11,librispeech_original,ALTERED WORDS AND FIGURES,4,0,1,ALTERED,0.089104488492012,0.4828878546099292,-0.22117850184440613,-1.0128716230392456,0.7916931211948395,0.10638402275071712
11,librispeech_original,ALTERED WORDS AND FIGURES,4,3,2,FIGURES,0.0740733668208122,0.555375,-0.22117850184440613,-0.31040093302726746,0.08922243118286133,0.2708772060013871
11,librispeech_original,ALTERED WORDS AND FIGURES,4,2,3,AND,0.0343421697616577,0.2221458333333335,-0.22117850184440613,-0.3094462454319,0.0882677435874939,0.2151726737502031
11,librispeech_original,ALTERED WORDS AND FIGURES,4,1,4,WORDS,0.0102211246266961,0.46326241134751767,-0.22117850184440613,-0.24955129623413086,0.02837279438972473,0.16113139150002098
26,librispeech_original,AND I BOUGHT THINGS,4,2,1,BOUGHT,0.0865613967180252,0.42767125984251975,-0.203469380736351,-0.3899594247341156,0.1864900439977646,0.21240957800000615
26,librispeech_original,AND I BOUGHT THINGS,4,3,2,THINGS,0.0325542874634265,0.44407381889763786,-0.203469380736351,-0.22099469602108002,0.017525315284729004,0.26715516175136145
26,librispeech_original,AND I BOUGHT THINGS,4,0,3,AND,0.029794555157423,0.20112204724409444,-0.203469380736351,-0.21267764270305634,0.009208261966705322,0.10634441200090805
26,librispeech_original,AND I BOUGHT THINGS,4,1,4,I,0.0068629886955022,0.17293749999999997,-0.203469380736351,-0.3256087899208069,0.12213940918445587,0.15783987375107245
32,librispeech_original,AND NOW I SAID,4,1,1,NOW,0.058214284479618,0.2613829787234043,-0.27780765295028687,-0.5467327833175659,0.26892513036727905,0.15119173975108424
32,librispeech_original,AND NOW I SAID,4,3,2,SAID,0.0187351070344448,0.3619148936170211,-0.27780765295028687,-0.3400706648826599,0.06226301193237305,0.2540052519998426
32,librispeech_original,AND NOW I SAID,4,0,3,AND,0.0110627366229891,0.18055452127659566,-0.27780765295028687,-0.2577499449253082,-0.020057708024978638,0.10023997200005397
32,librispeech_original,AND NOW I SAID,4,2,4,I,0.007029628381133,0.18095744680851045,-0.27780765295028687,-0.37263572216033936,0.09482806921005249,0.2018441067502863
33,librispeech_original,AND OH ANNE DEAR,4,3,1,DEAR,0.0660402700304985,0.34550000000000014,-0.22340111434459686,-0.66072678565979,0.4373256713151932,0.26054207400011364
33,librispeech_original,AND OH ANNE DEAR,4,2,2,ANNE,0.037975650280714,0.32194736842105254,-0.22340111434459686,-0.8049888014793396,0.5815876871347427,0.2070596272496914
33,librispeech_original,AND OH ANNE DEAR,4,0,3,AND,0.0262363757938146,0.18875986842105263,-0.22340111434459686,-0.41118451952934265,0.1877834051847458,0.10300911775084387
33,librispeech_original,AND OH ANNE DEAR,4,1,4,OH,0.0006159542826935,0.24167434210526317,-0.22340111434459686,-0.21492734551429749,-0.008473768830299377,0.1552221592501155
35,librispeech_original,AND REFUSED TO APOLOGISE,4,1,1,REFUSED,0.0801217928528785,0.5046296296296298,-0.3361198902130127,-0.6215677261352539,0.2854478359222412,0.1565480524986924
35,librispeech_original,AND REFUSED TO APOLOGISE,4,3,2,APOLOGISE,0.0621283426880836,0.846997685185185,-0.3361198902130127,-0.8331447839736938,0.49702489376068115,0.26665990324909217
35,librispeech_original,AND REFUSED TO APOLOGISE,4,0,3,AND,0.0018640159396454,0.1468726851851852,-0.3361198902130127,-0.3417905569076538,0.005670666694641113,0.10257847274988308
35,librispeech_original,AND REFUSED TO APOLOGISE,4,2,4,TO,0.0002689560642465,0.0403703703703705,-0.3361198902130127,-0.3241444230079651,-0.011975467205047607,0.21124219899866148
38,librispeech_original,AND SO IN MY VIEW,5,4,1,VIEW,0.0398805476725101,0.3019017857142856,-0.20203295350074768,-0.21482403576374054,0.012791082262992859,0.2527027486008592
38,librispeech_original,AND SO IN MY VIEW,5,2,2,IN,0.029589258134365,0.12594642857142846,-0.20203295350074768,-0.19285298883914948,-0.009179964661598206,0.16693773559964029
38,librispeech_original,AND SO IN MY VIEW,5,1,3,SO,0.0273776929825544,0.4017857142857144,-0.20203295350074768,-0.24336352944374084,0.041330575942993164,0.1254127931999392
38,librispeech_original,AND SO IN MY VIEW,5,3,4,MY,0.022342937067151,0.22196428571428584,-0.20203295350074768,-0.1983533799648285,-0.0036795735359191895,0.21002657580102096
38,librispeech_original,AND SO IN MY VIEW,5,0,5,AND,0.0152192963287234,0.23312499999999997,-0.20203295350074768,-0.621471107006073,0.4194381535053253,0.08360003740090179
43,librispeech_original,AND THERE WAS MY AUNT,5,4,1,AUNT,0.0608198419213295,0.29139527027027023,-0.2733687460422516,-0.5093056559562683,0.23593690991401672,0.2422492472003796
43,librispeech_original,AND THERE WAS MY AUNT,5,1,2,THERE,0.0380421318113803,0.1329476351351352,-0.2733687460422516,-0.4201938807964325,0.1468251347541809,0.11842697800020688
43,librispeech_original,AND THERE WAS MY AUNT,5,0,3,AND,0.036663819104433,0.1605540540540541,-0.2733687460422516,-1.0048377513885498,0.7314690053462982,0.07831345360027626
43,librispeech_original,AND THERE WAS MY AUNT,5,3,4,MY,0.0115747917443513,0.10067567567567559,-0.2733687460422516,-0.3042526841163635,0.03088393807411194,0.20046689059963682
43,librispeech_original,AND THERE WAS MY AUNT,5,2,5,WAS,0.0011806359980255,0.0805405405405405,-0.2733687460422516,-0.27198395133018494,-0.0013847947120666504,0.15884008620050735
44,librispeech_original,AND THIS AND HERE AGAIN,5,4,1,AGAIN,0.0635570362210273,0.6043125,-0.17492780089378357,-0.5856965184211731,0.4107687175273895,0.25388531759963373
44,librispeech_original,AND THIS AND HERE AGAIN,5,3,2,HERE,0.0101159177720546,0.17141666666666677,-0.17492780089378357,-0.17848938703536987,0.0035615861415863037,0.21129372659925139
44,librispeech_original,AND THIS AND HERE AGAIN,5,2,3,AND,0.0093804458156228,0.21866666666666668,-0.17492780089378357,-0.4620794653892517,0.28715166449546814,0.16791682019975268
44,librispeech_original,AND THIS AND HERE AGAIN,5,1,4,THIS,0.0089458962902426,0.32266666666666666,-0.17492780089378357,-0.19234350323677063,0.01741570234298706,0.12520338460017227
44,librispeech_original,AND THIS AND HERE AGAIN,5,0,5,AND,0.0048381648957729,0.19093750000000004,-0.17492780089378357,-0.19646793603897095,0.021540135145187378,0.08299913439986994
60,librispeech_original,AT YOUR SERVICE SIR,4,3,1,SIR,0.1145062372088432,0.44169230769230805,-0.2814698815345764,-1.2906475067138672,1.0091776251792908,0.2715505227497488
