sample_id,boundary_idx,transcript,audio_column,raw_time_sec,refined_time_sec,raw_flux,refined_flux,delta_time_ms
0,0,Is woke bad?,audio__female,0.160941,0.080917,14.212672233581543,0.0014173785457387567,-80.024
0,1,Is woke bad?,audio__female,0.301765,0.311824,33.683467864990234,17.731430053710938,10.058999999999985
0,2,Is woke bad?,audio__female,0.442588,0.382235,59.28555679321289,0.1634775996208191,-60.35299999999999
0,3,Is woke bad?,audio__female,0.704118,0.744353,1.498960018157959,0.045987844467163086,40.23500000000002
0,4,Is woke bad?,audio__female,0.865059,0.764471,100.90545654296875,0.008654751814901829,-100.58800000000001
0,5,Is woke bad?,audio__female,1.227176,1.307167,0.00019737760885618627,7.928655918476579e-07,79.99099999999993
1,0,"Write ""Test""",audio__female,0.162462,0.082458,7.818151473999023,0.20693868398666382,-80.00399999999999
1,1,"Write ""Test""",audio__female,0.487385,0.507692,6.3356404304504395,1.254626750946045,20.30700000000002
1,2,"Write ""Test""",audio__female,0.995077,0.783625,12.59131908416748,4.367919359538064e-08,-211.45199999999997
1,3,"Write ""Test""",audio__female,1.340308,1.420292,0.03812370449304581,0.0043374947272241116,79.98400000000005
2,0,What is prayer?,audio__female,0.142373,0.062333,4.918944358825684,7.728576179033553e-08,-80.04
2,1,What is prayer?,audio__female,0.345763,0.345763,3.131242275238037,3.131242275238037,0.0
2,2,What is prayer?,audio__female,0.427119,0.40678,3.544032096862793,3.5872063636779785,-20.339000000000052
2,3,What is prayer?,audio__female,0.549153,0.549153,4.045510292053223,4.045510292053223,0.0
2,4,What is prayer?,audio__female,0.671186,0.610169,2.108586311340332,0.0003891553496941924,-61.01699999999999
2,5,What is prayer?,audio__female,1.098305,1.178292,6.86873754602857e-05,1.077902034296585e-08,79.98699999999981
3,0,What is a lorry?,audio__female,0.18225,0.10225,14.502540588378906,14.385530471801758,-80.0
3,1,What is a lorry?,audio__female,0.34425,0.34425,6.700112342834473,6.700112342834473,0.0
3,2,What is a lorry?,audio__female,0.42525,0.405,5.729476451873779,14.793072700500488,-20.24999999999999
3,3,What is a lorry?,audio__female,0.50625,0.50625,11.212591171264648,11.212591171264648,0.0
3,4,What is a lorry?,audio__female,0.6075,0.6075,38.76226043701172,38.76226043701172,0.0
3,5,What is a lorry?,audio__female,0.62775,0.62775,4.4999613761901855,4.4999613761901855,0.0
3,6,What is a lorry?,audio__female,0.70875,0.6885,22.656455993652344,18.242097854614258,-20.24999999999999
3,7,What is a lorry?,audio__female,0.972,1.052,53.884544372558594,6.700621128082275,80.00000000000007
4,0,What was 8-Chan?,audio__female,0.162667,0.082625,8.562418937683105,0.0006383417639881372,-80.042
4,1,What was 8-Chan?,audio__female,0.325333,0.325333,0.4586215317249298,0.4586215317249298,0.0
4,2,What was 8-Chan?,audio__female,0.406667,0.386333,14.3760404586792,0.7511779069900513,-20.334000000000017
4,3,What was 8-Chan?,audio__female,0.549,0.569333,1.92062246799469,0.3551254868507385,20.332999999999934
