sample_id,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,deletion_drop_emb,deletion_drop_tfidf,cumulative_drop_emb,cumulative_n_deleted,segment_dur_sec,util_empty_emb,base_text,n_coalitions,runtime_sec
1,A FRENCHMAN YOUR NAME,4,1,1,FRENCHMAN,0.13900135457515717,0.13900135457515717,0.6286382549743162,0.12292075157165527,0.2928932188134524,0.12292075157165527,1,0.5218978102189781,0.778885006904602,"A Frenchman, your name.",16,1.280255519250204
1,A FRENCHMAN YOUR NAME,4,3,2,NAME,0.03242103382945061,0.03242103382945061,0.14662520515214955,0.0,0.0,0.15568625926971436,2,0.23111222627737238,0.778885006904602,"A Frenchman, your name.",16,1.280255519250204
1,A FRENCHMAN YOUR NAME,4,2,3,YOUR,0.028901198878884315,0.028901198878884315,0.13070663437358057,0.03559213876724243,0.13397459621556118,0.21931242942810059,3,0.7267468065693432,0.778885006904602,"A Frenchman, your name.",16,1.280255519250204
1,A FRENCHMAN YOUR NAME,4,0,4,A,0.020791422575712204,0.020791422575712204,0.09402990097742035,0.03852438926696777,0.13397459621556118,0.22111499309539795,4,0.12016833941605842,0.778885006904602,"A Frenchman, your name.",16,1.280255519250204
6,AHEM A COMMON RUMOR,4,3,1,RUMOR,0.13641545176506042,0.13641545176506042,0.5853740576283738,0.10013610124588013,0.13397459621556118,0.10013610124588013,1,0.3510249999999999,0.7669602036476135,"Ahem, a common rumor.",16,1.0925116155012802
6,AHEM A COMMON RUMOR,4,2,2,COMMON,0.05929785966873169,0.05929785966873169,0.25445379004971247,0.05524390935897827,0.42264973081037416,0.23391979932785034,2,0.3915599999999999,0.7669602036476135,"Ahem, a common rumor.",16,1.0925116155012802
6,AHEM A COMMON RUMOR,4,0,3,AHEM,0.027925997972488403,0.027925997972488403,0.11983360048267062,0.0309332013130188,0.13397459621556118,0.23303979635238647,3,0.4213924999999999,0.7669602036476135,"Ahem, a common rumor.",16,1.0925116155012802
6,AHEM A COMMON RUMOR,4,1,4,A,0.009400486946105957,0.009400486946105957,0.040338547548130585,0.03301405906677246,0.2928932188134524,0.23303979635238647,4,0.5343899999999999,0.7669602036476135,"Ahem, a common rumor.",16,1.0925116155012802
11,ALTERED WORDS AND FIGURES,4,0,1,ALTERED,0.11262799054384232,0.11262799054384232,0.45020797595735856,0.09983158111572266,0.13397459621556118,0.09983158111572266,1,0.4828878546099292,0.7498310804367065,Altered Words and Figures,16,1.076886158749403
11,ALTERED WORDS AND FIGURES,4,1,2,WORDS,0.06267662346363068,0.06267662346363068,0.2505373278272111,0.05817514657974243,0.13397459621556118,0.1488867998123169,2,0.46326241134751767,0.7498310804367065,Altered Words and Figures,16,1.076886158749403
11,ALTERED WORDS AND FIGURES,4,3,3,FIGURES,0.057571157813072205,0.057571157813072205,0.2301292450250678,0.04148977994918823,0.13397459621556118,0.21848297119140625,3,0.555375,0.7498310804367065,Altered Words and Figures,16,1.076886158749403
11,ALTERED WORDS AND FIGURES,4,2,4,AND,0.01729303039610386,0.01729303039610386,0.06912544719306146,0.02906668186187744,0.13397459621556118,0.25016891956329346,4,0.2221458333333335,0.7498310804367065,Altered Words and Figures,16,1.076886158749403
26,AND I BOUGHT THINGS,4,1,1,I,0.07842869311571121,0.07842869311571121,0.3070944783050203,0.031000792980194092,0.13397459621556118,0.031000792980194092,1,0.17293749999999997,0.7446105480194092,And I bought things.,16,1.1025685164986498
26,AND I BOUGHT THINGS,4,3,2,THINGS,0.07077139616012573,0.07077139616012573,0.27711165543262084,0.03796762228012085,0.13397459621556118,0.21964001655578613,2,0.44407381889763786,0.7446105480194092,And I bought things.,16,1.1025685164986498
26,AND I BOUGHT THINGS,4,2,3,BOUGHT,0.06383450329303741,0.06383450329303741,0.24994963842778112,0.10112190246582031,0.13397459621556118,0.19242209196090698,3,0.42767125984251975,0.7446105480194092,And I bought things.,16,1.1025685164986498
26,AND I BOUGHT THINGS,4,0,4,AND,0.04235486686229706,0.04235486686229706,0.16584422391898931,0.012469589710235596,0.13397459621556118,0.2553894519805908,4,0.20112204724409444,0.7446105480194092,And I bought things.,16,1.1025685164986498
32,AND NOW I SAID,4,1,1,NOW,0.09036556631326675,0.09036556631326675,0.46142715528282147,0.09841340780258179,0.25,0.09841340780258179,1,0.2613829787234043,0.8041607141494751,"And now, I said,",16,1.1723320729997795
32,AND NOW I SAID,4,3,2,SAID,0.06638802587985992,0.06638802587985992,0.33899237482108013,0.08010029792785645,0.25,0.08326691389083862,2,0.3619148936170211,0.8041607141494751,"And now, I said,",16,1.1723320729997795
